Content ID,Content Type,content category,ReactionType,Sentiment,Score,Date,Hour,Minute,Second,Weekday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,negative,0,2020-11-07,9,43,50,Saturday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,dislike,negative,10,2021-06-17,12,22,51,Thursday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,negative,15,2021-04-18,5,13,58,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,negative,0,2021-01-06,19,13,1,Wednesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,positive,30,2020-08-23,12,25,58,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,neutral,35,2020-12-07,6,27,54,Monday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,cherish,positive,70,2021-04-11,17,35,49,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,negative,5,2021-01-27,8,32,9,Wednesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,neutral,35,2021-04-01,22,54,23,Thursday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,love,positive,65,2020-08-04,5,5,2,Tuesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,indifferent,neutral,20,2020-11-07,8,36,27,Saturday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,negative,15,2020-11-02,6,28,53,Monday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,positive,30,2020-11-01,1,16,21,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,negative,5,2020-10-07,18,39,8,Wednesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,negative,15,2020-09-03,18,51,38,Thursday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,super love,positive,75,2021-02-24,5,9,23,Wednesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,neutral,35,2020-09-23,6,24,11,Wednesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,indifferent,neutral,20,2021-02-24,11,37,57,Wednesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,positive,30,2021-05-22,19,44,23,Saturday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,intrigued,positive,45,2021-01-31,16,3,56,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,neutral,35,2020-11-20,17,26,23,Friday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,worried,negative,12,2021-04-11,20,47,13,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,like,positive,50,2021-06-13,16,46,6,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,heart,positive,60,2021-04-11,14,29,59,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,worried,negative,12,2021-03-02,19,21,19,Tuesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,negative,5,2020-06-27,18,44,39,Saturday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,negative,5,2021-05-09,21,5,17,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,cherish,positive,70,2020-08-04,23,58,42,Tuesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,super love,positive,75,2020-08-28,3,57,20,Friday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,intrigued,positive,45,2020-08-25,8,21,56,Tuesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,negative,15,2021-04-20,23,48,12,Tuesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,positive,30,2021-03-07,12,40,11,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,indifferent,neutral,20,2021-05-24,3,21,13,Monday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,super love,positive,75,2021-01-24,11,3,43,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,negative,0,2021-04-09,2,46,20,Friday
